gene_id	adipose_tpm	other_tissues_median_tpm	fc	log2_fc	zscore	pval
ENSG00000108551.4	195.6	41.5175	4.71126633347384	2.23611489157302	2.87268483373164	0.00203499959599962
ENSG00000099282.5	96.515	20.5025	4.70747469820754	2.23495334064543	2.8709504320921	0.00204619845472265
ENSG00000125730.12	354.75	75.815	4.67915320187298	2.22624746527956	2.85795101540739	0.00213193104080445
ENSG00000173372.12	171.9	36.815	4.66929240798588	2.22320393819283	2.85340648942593	0.00216266277358923
ENSG00000187193.8	566.1	121.65	4.65351418002466	2.21832060338317	2.84611480406015	0.00221281181289112
ENSG00000079308.12	213.15	45.8075	4.65316814932053	2.21821332202051	2.84595461394978	0.0022139252658846
ENSG00000105971.10	83.275	17.96	4.63669265033408	2.21309609882057	2.83831369171633	0.00226762934710734
ENSG00000178695.4	135.95	29.485	4.61081906053926	2.20502305209021	2.82625920047305	0.00235475691227893
ENSG00000168140.4	96.6	21.325	4.52989449003517	2.17947744751748	2.78811508005464	0.00265078537196362
ENSG00000149591.12	785.9	173.6	4.52707373271889	2.17857880403696	2.78677324588366	0.00266178577855725
ENSG00000132386.6	579.75	128.3	4.51870615744349	2.17590974444368	2.78278786631512	0.00269470156587814
ENSG00000179144.4	73.47	16.275	4.51428571428571	2.17449773123214	2.7806794800438	0.00271226325428131
ENSG00000122679.4	122.7	27.26	4.501100513573	2.17027778174506	2.77437834667518	0.00276536575060182
ENSG00000138119.12	78.415	17.455	4.49240905184761	2.16748929688456	2.77021464399197	0.00280096812714992
ENSG00000129226.9	164.15	36.56	4.48987964989059	2.16667677440227	2.76900140375259	0.00281141964813048
ENSG00000221968.4	185.05	41.45	4.46441495778046	2.15847112880447	2.75674891887197	0.00291895798690656
ENSG00000114698.10	83.33	18.685	4.45972705378646	2.15695541637909	2.7544856912741	0.00293922301653415
ENSG00000163513.13	316.8	71.17	4.45131375579598	2.15423119433717	2.75041794438176	0.002975964815077
